====== average C-index scores =======
ACC, 0.0
BLCA, 0.586233620443595
BRCA, 0.5750609625516441
CESC, 0.5846527466023773
CHOL, 0.0
COAD, 0.5366559119399577
DLBC, 0.0
ESCA, 0.531924042972804
GBM, 0.0
HNSC, 0.5454354825604526
KICH, 0.0
KIRC, 0.5999468938803669
KIRP, 0.5448075165074298
LAML, 0.0
LGG, 0.6491492982374892
LIHC, 0.550970376580894
LUAD, 0.5523775091105619
LUSC, 0.5384851091147148
MESO, 0.0
OV, 0.5390928710195612
PAAD, 0.562202421383914
PCPG, 0.0
PRAD, 0.5713880262547206
READ, 0.5670909920811502
SARC, 0.0
SKCM, 0.5419187092124144
STAD, 0.5473479090547338
TGCT, 0.4923248803726891
THCA, 0.8862477309229714
THYM, 0.5746233260852737
UCEC, 0.5866007225720433
UCS, 0.0
UVM, 0.5924886822050188
