====== average C-index scores =======
ACC, 0.0
BLCA, 0.594258334632024
BRCA, 0.5649321311855532
CESC, 0.5782753308044667
CHOL, 0.0
COAD, 0.5359275595493749
DLBC, 0.0
ESCA, 0.530417004315104
GBM, 0.0
HNSC, 0.44241159478125025
KICH, 0.0
KIRC, 0.6201897093151573
KIRP, 0.5234097674755128
LAML, 0.0
LGG, 0.6572123190478879
LIHC, 0.5626259257655993
LUAD, 0.5512056096813766
LUSC, 0.5427982271841462
MESO, 0.0
OV, 0.535449280764029
PAAD, 0.5704231810982988
PCPG, 0.0
PRAD, 0.504600720763331
READ, 0.605681937705223
SARC, 0.0
SKCM, 0.5535141887840831
STAD, 0.557189114996677
TGCT, 0.5514555534475853
THCA, 0.8633412189768113
THYM, 0.5951909476661952
UCEC, 0.5950365488274068
UCS, 0.0
UVM, 0.5967984227832631
